model,bleu1,bleu2,bleu4,rouge1,rouge2,rougeL
base,0.12636981551989582,0.06993888300470273,0.02518353558309572,0.4796406894599505,0.16125677702037094,0.08834354012170552
lora,0.1555620287874006,0.09374828881101491,0.04841048933578528,0.29036485605304985,0.09084327433998407,0.11618147960543539
